show_id,type,country_name
s1,TV Show,Brazil
s2,Movie,Mexico
s3,Movie,Singapore
s4,Movie,United States
s5,Movie,United States
s6,TV Show,Turkey
s7,Movie,Egypt
s8,Movie,United States
s9,Movie,India
s10,Movie,India
s11,Movie,United States
s12,TV Show,Poland
s12,TV Show,United States
s13,TV Show,Mexico
s14,Movie,Thailand
s15,Movie,United States
s16,Movie,Nigeria
s18,Movie,Norway
s18,Movie,Iceland
s18,Movie,United States
s19,Movie,India
s20,Movie,United Kingdom
s21,Movie,India
s22,Movie,India
s23,Movie,India
s24,Movie,India
s25,TV Show,Japan
s26,Movie,United States
s27,TV Show,United States
s28,Movie,South Korea
s29,Movie,Italy
s30,TV Show,United States
s31,Movie,Canada
s32,Movie,Indonesia
s33,Movie,Indonesia
s34,Movie,United States
s35,Movie,Canada
s36,Movie,United States
s37,Movie,Romania
s38,Movie,Romania
s40,Movie,Spain
s41,Movie,Turkey
s42,Movie,Iceland
s43,Movie,Turkey
s44,Movie,Nigeria
s45,Movie,United States
s46,TV Show,Turkey
s47,Movie,United States
s48,Movie,United States
s49,Movie,South Africa
s49,Movie,Nigeria
s50,Movie,France
s51,Movie,United States
s51,Movie,South Africa
s52,TV Show,South Korea
s53,Movie,Spain
s54,TV Show,United States
s55,Movie,Portugal
s55,Movie,Spain
s56,Movie,United States
s57,Movie,United States
s58,Movie,Indonesia
s59,TV Show,United Kingdom
s60,Movie,India
s61,Movie,United States
s62,TV Show,South Korea
s63,Movie,United States
s64,TV Show,United States
s65,TV Show,United States
s66,Movie,United States
s67,Movie,United States
s69,Movie,Hong Kong
s69,Movie,China
s69,Movie,Singapore
s70,Movie,United States
s71,Movie,United States
s72,Movie,United States
s72,Movie,Germany
s73,Movie,United States
s74,Movie,Italy
s75,Movie,Spain
s76,Movie,United States
s77,Movie,United States
s78,Movie,France
s79,Movie,India
s80,Movie,United States
s81,TV Show,Turkey
s82,Movie,South Korea
s83,Movie,United Kingdom
s84,Movie,United States
s85,Movie,United States
s86,TV Show,United Kingdom
s87,TV Show,India
s88,TV Show,Canada
s89,Movie,United States
s90,Movie,South Africa
s90,Movie,China
s90,Movie,United States
s91,Movie,India
s92,Movie,South Korea
s93,Movie,Argentina
s94,Movie,United Kingdom
s95,Movie,United States
s96,TV Show,South Korea
s97,Movie,United States
s97,Movie,France
s97,Movie,Serbia
s99,Movie,United States
s100,Movie,Indonesia
s101,Movie,India
s102,Movie,Canada
s103,Movie,Germany
s104,Movie,Egypt
s105,Movie,United States
s106,Movie,Denmark
s106,Movie,France
s106,Movie,Poland
s107,Movie,Poland
s108,Movie,Japan
s109,TV Show,United States
s110,Movie,Kenya
s111,Movie,United States
s112,TV Show,Italy
s113,TV Show,Spain
s114,Movie,Canada
s115,Movie,Spain
s116,Movie,United States
s117,Movie,Nigeria
s119,Movie,United States
s120,Movie,Italy
s121,Movie,United States
s122,Movie,United States
s123,Movie,United States
s124,Movie,Indonesia
s125,Movie,Romania
s126,Movie,United States
