show_id,type,genre
s1,TV Show,International TV Shows
s1,TV Show,TV Dramas
s1,TV Show,TV Sci-Fi & Fantasy
s2,Movie,Dramas
s2,Movie,International Movies
s3,Movie,Horror Movies
s3,Movie,International Movies
s4,Movie,Action & Adventure
s4,Movie,Independent Movies
s4,Movie,Sci-Fi & Fantasy
s5,Movie,Dramas
s6,TV Show,International TV Shows
s6,TV Show,TV Dramas
s6,TV Show,TV Mysteries
s7,Movie,Horror Movies
s7,Movie,International Movies
s8,Movie,Dramas
s9,Movie,Horror Movies
s9,Movie,International Movies
s10,Movie,Horror Movies
s10,Movie,International Movies
s10,Movie,Thrillers
s11,Movie,Dramas
s11,Movie,Thrillers
s12,TV Show,Crime TV Shows
s12,TV Show,International TV Shows
s12,TV Show,TV Dramas
s13,TV Show,Crime TV Shows
s13,TV Show,Docuseries
s13,TV Show,International TV Shows
s14,Movie,Documentaries
s14,Movie,International Movies
s14,Movie,Sports Movies
s15,Movie,Independent Movies
s15,Movie,Sci-Fi & Fantasy
s15,Movie,Thrillers
s16,Movie,Dramas
s16,Movie,International Movies
s16,Movie,Thrillers
s17,TV Show,International TV Shows
s17,TV Show,TV Dramas
s18,Movie,Dramas
s18,Movie,Thrillers
s19,Movie,Comedies
s19,Movie,Dramas
s19,Movie,Independent Movies
s20,Movie,Sports Movies
s21,Movie,Dramas
s21,Movie,Independent Movies
s21,Movie,International Movies
s22,Movie,Action & Adventure
s22,Movie,Dramas
s22,Movie,International Movies
s23,Movie,Dramas
s23,Movie,International Movies
s24,Movie,Dramas
s24,Movie,International Movies
s25,TV Show,Anime Series
s25,TV Show,International TV Shows
s26,Movie,Documentaries
s27,TV Show,Reality TV
s28,Movie,Horror Movies
s28,Movie,International Movies
s28,Movie,Thrillers
s29,Movie,Documentaries
s29,Movie,International Movies
s30,TV Show,TV Comedies
s31,Movie,Documentaries
s31,Movie,International Movies
s32,Movie,Dramas
s32,Movie,International Movies
s32,Movie,Romantic Movies
s33,Movie,Dramas
s33,Movie,International Movies
s33,Movie,Romantic Movies
s34,Movie,Comedies
s35,Movie,Comedies
s35,Movie,Romantic Movies
s36,Movie,Documentaries
s36,Movie,Sports Movies
s37,Movie,Comedies
s37,Movie,Dramas
s37,Movie,International Movies
s38,Movie,Comedies
s38,Movie,Dramas
s38,Movie,International Movies
s39,TV Show,International TV Shows
s39,TV Show,Romantic TV Shows
s39,TV Show,TV Comedies
s40,Movie,Comedies
s40,Movie,International Movies
s41,Movie,Comedies
s41,Movie,International Movies
s42,Movie,Horror Movies
s42,Movie,International Movies
s43,Movie,Comedies
s43,Movie,International Movies
s44,Movie,Dramas
s44,Movie,International Movies
s45,Movie,Action & Adventure
s45,Movie,Sci-Fi & Fantasy
s46,TV Show,Crime TV Shows
s46,TV Show,International TV Shows
s46,TV Show,TV Dramas
s47,Movie,Dramas
s47,Movie,Romantic Movies
s48,Movie,Dramas
s48,Movie,Romantic Movies
s48,Movie,Sports Movies
s49,Movie,Comedies
s49,Movie,International Movies
s49,Movie,Romantic Movies
s50,Movie,Comedies
s50,Movie,Dramas
s50,Movie,International Movies
s51,Movie,Action & Adventure
s52,TV Show,International TV Shows
s52,TV Show,Romantic TV Shows
s52,TV Show,TV Dramas
s53,Movie,Documentaries
s53,Movie,International Movies
s54,TV Show,Docuseries
s54,TV Show,Science & Nature TV
s55,Movie,Dramas
s55,Movie,International Movies
s55,Movie,Sports Movies
s56,Movie,Movies
s57,Movie,Documentaries
s58,Movie,Dramas
s58,Movie,International Movies
s59,TV Show,British TV Shows
s59,TV Show,International TV Shows
s59,TV Show,Reality TV
s60,Movie,Dramas
s60,Movie,International Movies
s61,Movie,Dramas
s61,Movie,Independent Movies
s61,Movie,Sports Movies
s62,TV Show,International TV Shows
s62,TV Show,Korean TV Shows
s62,TV Show,Romantic TV Shows
s63,Movie,Horror Movies
s63,Movie,Independent Movies
s63,Movie,Thrillers
s64,TV Show,Crime TV Shows
s64,TV Show,TV Dramas
s64,TV Show,TV Mysteries
s65,TV Show,Crime TV Shows
s65,TV Show,Docuseries
s66,Movie,Horror Movies
s66,Movie,Thrillers
s67,Movie,Documentaries
s68,Movie,Movies
s69,Movie,Action & Adventure
s69,Movie,International Movies
s70,Movie,Horror Movies
s70,Movie,Thrillers
s71,Movie,Documentaries
s72,Movie,Action & Adventure
s73,Movie,Comedies
s74,Movie,Dramas
s74,Movie,Independent Movies
s74,Movie,International Movies
s75,Movie,Dramas
s75,Movie,International Movies
s76,Movie,Horror Movies
s76,Movie,Independent Movies
s76,Movie,Thrillers
s77,Movie,Horror Movies
s77,Movie,Independent Movies
s78,Movie,Comedies
s78,Movie,International Movies
s79,Movie,Comedies
s79,Movie,Dramas
s79,Movie,International Movies
s80,Movie,Documentaries
s80,Movie,Music & Musicals
s81,TV Show,Crime TV Shows
s81,TV Show,International TV Shows
s81,TV Show,TV Dramas
s82,Movie,International Movies
s82,Movie,Music & Musicals
s83,Movie,Sci-Fi & Fantasy
s84,Movie,Dramas
s84,Movie,Independent Movies
s85,Movie,Comedies
s86,TV Show,British TV Shows
s86,TV Show,Reality TV
s87,TV Show,International TV Shows
s87,TV Show,TV Dramas
s88,TV Show,Crime TV Shows
s88,TV Show,International TV Shows
s88,TV Show,TV Dramas
s89,Movie,Action & Adventure
s89,Movie,Independent Movies
s89,Movie,Sci-Fi & Fantasy
s90,Movie,Action & Adventure
s91,Movie,Action & Adventure
s91,Movie,Dramas
s91,Movie,International Movies
s92,Movie,Dramas
s92,Movie,International Movies
s92,Movie,Thrillers
s93,Movie,Action & Adventure
s93,Movie,Comedies
s93,Movie,International Movies
s94,Movie,Documentaries
s95,Movie,Comedies
s95,Movie,Dramas
s96,TV Show,International TV Shows
s96,TV Show,Korean TV Shows
s96,TV Show,Romantic TV Shows
s97,Movie,Action & Adventure
s98,Movie,Dramas
s98,Movie,International Movies
s98,Movie,Thrillers
s99,Movie,Dramas
s99,Movie,LGBTQ Movies
s100,Movie,Dramas
s100,Movie,International Movies
s100,Movie,Sports Movies
s101,Movie,Comedies
s101,Movie,Dramas
s101,Movie,International Movies
s102,Movie,Documentaries
s102,Movie,Faith & Spirituality
s103,Movie,Comedies
s103,Movie,International Movies
s104,Movie,Comedies
s104,Movie,International Movies
s105,Movie,Action & Adventure
s105,Movie,Comedies
s106,Movie,Dramas
s106,Movie,International Movies
s107,Movie,Dramas
s107,Movie,International Movies
s107,Movie,Romantic Movies
s108,Movie,Dramas
s108,Movie,International Movies
s109,TV Show,Kids' TV
s109,TV Show,TV Action & Adventure
s109,TV Show,TV Sci-Fi & Fantasy
s110,Movie,International Movies
s110,Movie,Thrillers
s111,Movie,Documentaries
s112,TV Show,Kids' TV
s113,TV Show,International TV Shows
s113,TV Show,Romantic TV Shows
s113,TV Show,Spanish-Language TV Shows
s114,Movie,Children & Family Movies
s114,Movie,Comedies
s115,Movie,Comedies
s115,Movie,Dramas
s115,Movie,Independent Movies
s116,Movie,Comedies
s116,Movie,LGBTQ Movies
s117,Movie,Dramas
s117,Movie,International Movies
s117,Movie,Thrillers
s118,Movie,Action & Adventure
s118,Movie,Comedies
s118,Movie,International Movies
s119,Movie,Comedies
s119,Movie,Dramas
s119,Movie,Independent Movies
s120,Movie,Comedies
s120,Movie,International Movies
s121,Movie,Comedies
s121,Movie,Dramas
s121,Movie,Romantic Movies
s122,Movie,Comedies
s122,Movie,Romantic Movies
s123,Movie,Comedies
s123,Movie,Dramas
s123,Movie,Independent Movies
s124,Movie,Dramas
s124,Movie,International Movies
s125,Movie,Comedies
s125,Movie,International Movies
s126,Movie,Dramas
s126,Movie,Independent Movies
s127,Movie,Action & Adventure
s127,Movie,Dramas
s127,Movie,International Movies
s128,Movie,Action & Adventure
s128,Movie,Dramas
s129,Movie,Dramas
s129,Movie,Independent Movies
s129,Movie,Romantic Movies
s130,Movie,Horror Movies
s130,Movie,International Movies
s130,Movie,Thrillers
s131,TV Show,Reality TV
s132,Movie,Comedies
s132,Movie,Independent Movies
s132,Movie,Thrillers
s133,TV Show,TV Shows
s134,Movie,Dramas
s134,Movie,International Movies
s135,TV Show,Docuseries
s136,Movie,Comedies
s136,Movie,International Movies
s136,Movie,Music & Musicals
s137,Movie,Dramas
s137,Movie,International Movies
s137,Movie,Thrillers
s138,TV Show,Docuseries
s138,TV Show,International TV Shows
s138,TV Show,Science & Nature TV
s139,TV Show,Docuseries
s139,TV Show,International TV Shows
s139,TV Show,Science & Nature TV
s140,TV Show,Docuseries
s140,TV Show,International TV Shows
s140,TV Show,Science & Nature TV
s141,TV Show,Docuseries
s141,TV Show,International TV Shows
